icao,name,operator,pilot_page,pdf_url,parser,parser_arg,effective_on,status,notes
LFJR,Angers Marcé,EDEIS,https://angers.aeroport.fr/domaines-application/informations-tarifs-et-pilotes/,https://angers.aeroport.fr/wp-content/uploads/2026/02/Guide-des-redevances-2026.pdf,edeis,,2026-01-01,in_sources,Phase 1 — déjà dans landing_fee_sources.csv
LFSD,Dijon Bourgogne,EDEIS,https://dijon.aeroport.fr/domaines-application/espace-pilote/,https://dijon.aeroport.fr/wp-content/uploads/sites/13/2025/02/Guide-tarifaire-Redevances-SPA-Dijon-2025-2.pdf,edeis,,2025-04-10,in_sources,Phase 1
LFTW,Nîmes,EDEIS,https://nimes.aeroport.fr/domaines-application/espace-pilote/,https://nimes.aeroport.fr/wp-content/uploads/sites/18/2025/03/20241218-Edeis-Aeroport-de-Nimes-Tarifs-2025-des-redevances-reglementees.pdf,edeis,,2025-01-01,in_sources,Phase 1
LFOT,Tours Val de Loire,EDEIS,https://tours.aeroport.fr/domaines-application/espace-pilote/,https://tours.aeroport.fr/wp-content/uploads/sites/21/2025/02/123405tours_guide_des_redevances_2024_applicable_au_01_janvier_2024.pdf,edeis,,2024-01-01,in_sources,Phase 1 — grille 2024
LFGC,Chalon Champforgeuil,EDEIS,https://chalon.aeroport.fr/domaines-application/espace-pilote/,https://chalon.aeroport.fr/wp-content/uploads/sites/11/2025/02/Chalon-Guide-Tarifs-2025.pdf,edeis,,2025-04-11,in_sources,Phase 1
LFLA,Auxerre Branches,EDEIS,https://auxerre.aeroport.fr/domaines-application/espace-pilote/,https://auxerre.aeroport.fr/wp-content/uploads/sites/9/2025/01/EDEIS-AUXERRE-Guide-Tarifaire-Redevances-2026.pdf,edeis,,2026-05-01,ready,Phase 1 — parser OK; à ajouter à landing_fees.csv
LFQB,Troyes Barberey,EDEIS,https://troyes.aeroport.fr/domaines-application/espace-pilote/,https://troyes.aeroport.fr/wp-content/uploads/sites/23/2025/02/Guide-tarifaire-Troyes-Redevances-2026.pdf,edeis,,2026-04-01,ready,Phase 1 — parser OK
LFRC,Cherbourg Maupertus,EDEIS,https://cherbourg.aeroport.fr/domaines-application/espace-pilote/,https://cherbourg.aeroport.fr/wp-content/uploads/sites/12/2025/02/Cherbourg-Guide-tarifaire-Redevances-SPA_2025.pdf,edeis,,2025-01-01,needs_parser,Phase 1 — forfait unique 0–2 t (pas de tranches De 0 à 1t)
LFAC,Calais Marck,EDEIS,https://calais.aeroport.fr/domaines-application/espace-pilote/,https://calais.aeroport.fr/wp-content/uploads/sites/24/2025/12/Guide_tarifaire_redevances_2026.pdf,edeis,,2026-01-01,needs_parser,Phase 1 — layout à vérifier (TTC 13.20 € pour 0–2 t?)
LFQA,Reims Prunay,EDEIS,https://reims.aeroport.fr/domaines-application/espace-pilote/,https://reims.aeroport.fr/wp-content/uploads/sites/19/2025/02/Guide-tarifaire-Redevances-2026.pdf,edeis,,2026-01-01,needs_parser,Phase 1 — date Applicable au à extraire; pas LFSR
LFRM,Le Mans Arnage,EDEIS,https://lemans.aeroport.fr/domaines-application/infos-pilote-et-tarifs/,https://lemans.aeroport.fr/wp-content/uploads/sites/25/2025/02/Guide-des-redevances-reglementees-2026-a-compter-du-01072026.pdf,edeis,,2026-07-01,needs_parser,Phase 1 — section < 6 t absente ou libellé différent
LFRH,Lorient Bretagne Sud,EDEIS,https://lorient.aeroport.fr/expertises/infos-pilote/,https://lorient.aeroport.fr/wp-content/uploads/sites/16/2025/06/Guide-tarifaire-des-redevances-Aeroport-Lorient-Bretagne-Sud-2025.pdf,edeis,,2025-08-01,needs_parser,Phase 1 — grille < 3 t (pas < 6 t); PDF 2026 scanné
LFBX,Périgueux Bassillac,EDEIS,https://perigueux.aeroport.fr/espace-pilotes-aeroport-perigueux/,https://perigueux.aeroport.fr/wp-content/uploads/sites/27/2026/03/PERIGUEUX_Guide-redevances-reglementees-2025-v1.pdf,edeis,,2025-07-01,needs_parser,Phase 1 — section < 6 t à confirmer dans le PDF
LFGJ,Dole Jura,EDEIS,https://dole.aeroport.fr/espace-pilote,,edeis,,,needs_url,Phase 1 — guide redevances SPA non trouvé (handling seulement sur le site)
LFLD,Bourges,EDEIS,https://bourges.aeroport.fr/domaines-application/infos-pilotes/,https://bourges.aeroport.fr/wp-content/uploads/sites/10/2025/01/1118232025-v1_assistance_bourges_guide-tarifaire.pdf,edeis,,,needs_url,Phase 1 — PDF assistance seulement; redevances SPA à localiser
LFFI,Ancenis,EDEIS,https://ancenis.aeroport.fr/domaines-application/infos-pilote/,,edeis,,,needs_url,Phase 1 — page pilote 404; chercher nouvelle URL EDEIS
LFMA,Aix Les Milles,EDEIS,https://aixlesmilles.aeroport.fr/domaines-application/infos-pilote-et-tarifs/,,edeis,,,needs_url,Phase 1 — domaine aix.aeroport.fr mort; essayer aixlesmilles.aeroport.fr
LFBF,Toulouse Francazal,EDEIS,https://edeis-gestion.com/administration/Fichiers/pages/guide_tarifaire_francazal.pdf,,edeis,,2018-05-01,needs_parser,Phase 1 — PDF 2018 texte OK mais tranches illisibles; chercher guide 2025+
LFPN,Toussus-le-Noble,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,1,2019-07-01,needs_url,Phase 2 — PDF AAG à télécharger manuellement (bot protection)
LFPT,Pontoise,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,1,2019-07-01,needs_url,Phase 2
LFPL,Lognes,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,2,2019-07-01,needs_url,Phase 2
LFPV,Chavenay,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,3,2019-07-01,needs_url,Phase 2
LFPE,Meaux Esbly,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,3,2019-07-01,needs_url,Phase 2
LFPZ,Saint-Cyr,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,3,2019-07-01,needs_url,Phase 2
LFPA,Persan Beaumont,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,4,2019-07-01,needs_url,Phase 2
LFPC,Chelles,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,4,2019-07-01,needs_url,Phase 2
LFPK,Coulommiers,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,4,2019-07-01,needs_url,Phase 2
LFDE,Etampes,ADP AAG,https://www.parisaeroport.fr/entreprises/services-aux-compagnies-aeriennes/tarifs-redevances,,adp_aag,4,2019-07-01,needs_url,Phase 2
