icao,fuel,price_eur,observed_on,payment,note
LFHN,AKI93,2.4,2026-09-15,cash,ACB Bellegarde — cash ou chèque
LFHQ,AKI93,2.7,2026-09-15,other,Automate CB H24 — carte Total non acceptée
LFOQ,100LL,2.699,2026-09-15,bp,
LFJY,UL91,2.973,2026-09-12,other,
LFEQ,100LL,3.13,2026-07-25,total,
LFES,100LL,3,2026-04-08,total,
LFRO,100LL,2.80,2026-04-10,total,
LFRT,100LL,2.80,2026-04-03,other,
LFRV,100LL,2.93,2026-08-10,other,
LFRE,100LL,2.62,2026-06-23,other,
LFRZ,100LL,2.85,2026-04-09,total,
LFRN,100LL,3,2026-07-20,other,
LFRI,100LL,2.80,2026-08-19,other,
LFBH,100LL,2.79,2026-04-25,other,
LFRC,100LL,2.99,2026-08-11,other,
LFRG,100LL,3.20,2026-04-20,other,
LFRG,UL91,3.23,2026-07-19,other,
LFOH,100LL,2.72,2026-04-27,total,
LFAT,100LL,2.82,2026-08-10,total,
LFAC,100LL,2.97,2026-07-19,other,
LFAQ,100LL,2.52,2026-06-29,bp,
LFAY,100LL,3.03,2026-08-23,total,
LFQV,100LL,3.05,2026-07-03,other,
